"State","Latitude","Longitude","District","Land Area(km2)","Total Population","Population Density (per km2)","Citizens","Non-citizens","Male Population","Female Population","Bumiputera %","Bumiputera Citizens","Chinese % ","Chinese Citizens","Indian %","Indian Citizens","Other Race %","Other Race Citizens","% of citizen age 0-14","No. of citizen age 0-14","% of citizen age 15-64","No. of citizen age 15-64","% of citizen age 65 above","No. of citizen age 65 above","% of citizen age 18 above","No. of citizen age 18 above","Total Dependency Ratio","Young Dependency","Old Dependency","Sex Ratio","Living Quarters","Households","Average Household Size","No. of male live births","No. of female live births","No. of male deaths","No. of female deaths","% of owned housing (2019)","No. of owned housing (2019)","% of rented housing (2019)","No. of rented housing (2019)","% of quarter housing (2019)","No. of quarter housing (2019)","Labour Force Employment (,000)","No. of Labour Force","Employed (,000)","No. of citizen in employment","Unemployed (,000)","No. of citizen in unemployment","Outside Labour Force (.000)","No. of Outside Labour Force","Labour Force Participation Rate","Unemployment Rate","Median Monthly Household Gross Income (2019)","Mean Monthly Household Gross income (2019)","Mean Monthly Households Consumption Expenditure (2019)","Gini Coefficient (2019)","% of Incidence Of Poverty (2019)","Total No. of citizen with extreme poor status","Total No. of citizen with poor status","No. of male citizen with extreme poor status","No. of female citizen with extreme poor status","No. of male citizen with poor status","No. of female citizen with poor status","No. of malay citizen with extreme poor status","No. of chinese citizen with extreme poor status","No. of indian citizen with extreme poor status","No. of other citizen with extreme poor status","No. of malay citizen with poor status","No. of chinese citizen with poor status","No. of indian citizen with poor status","No. of other citizen with poor status","No. of Islam with extreme poor status","No. of Christian with extreme poor status","No. of Buddhist with extreme poor status","No. of Hindu with extreme poor status","No. of others with extreme poor status","No. of Islam with poor status","No. of Christian with poor status","No. of Buddhist with poor status","No. of Hindu with poor status","No. of others with poor status","No. of citizen age 0-14 with extreme poor status","No. of citizen age 15-30 with extreme poor status","No. of citizen age 31-59 with extreme poor status","No. of citizen age 60 above with extreme poor status","No. of citizen age 0-14 with poor status","No. of citizen age 15-30 with poor status","No. of citizen age 31-59 with poor status","No. of citizen age 60 above with poor status"
"Selangor","3.0733","101.5185","Shah Alam","140","438745","3134","398607","40138","234332","204413","74.5","326865","17","74587","8","35100","0.5","2194","20.4","89504","74","324671","5.6","24570","76","333446","35.1","27.5","7.6","115","127353","124773","3.9","2912","2814","896","657","71.4","313264","28.3","124165","0.3","1316","227.3","227300","218.7","218700","8.7","8700","76.1","76100","74.9","3.8","10453","13567","7225","0.395","0.3","73","215","41","32","130","85","41","2","29","1","148","4","57","3","41","3","2","26","1","154","6","5","50","0","0","0","45","28","0","0","148","67"
"Selangor","3.1373","101.3744","Kapar","362","314033","867","280092","33941","173549","140484","77.9","244632","10.7","33602","10.9","34230","0.5","1570","21.3","66889","72.4","227360","6.2","19470","73.7","231442","38","29.4","8.6","124","81703","74747","4.1","2069","2103","637","492","72.4","227360","25.9","81335","1.7","5339","168","168000","160.6","160600","7.4","7400","53.8","53800","75.7","4.4","6536","7953","5148","0.353","2.8","70","376","43","27","243","133","51","2","16","1","254","8","107","7","51","2","3","14","0","265","7","6","96","2","0","1","50","19","0","7","295","74"
"Selangor","3.0449","101.4456","Klang","162","297837","1839","271414","26423","161299","136538","41.1","122411","37.3","111093","20.1","59865","1.5","4468","19.5","58078","70.2","209082","10.3","30677","76","226356","42.3","27.7","14.6","118","82884","71762","4.1","2012","1956","619","456","66","196572","28.5","84884","5.4","16083","159","159000","151.8","151800","7.3","7300","47.8","47800","76.9","4.6","8251","10369","5518","0.375","1.4","101","367","54","47","231","136","61","6","24","10","224","19","103","21","72","3","4","21","1","246","7","18","94","2","0","5","69","27","0","9","269","89"
"Selangor","2.6839","101.4981","KotaRaja","141","523094","3710","478924","44170","279087","244007","50.5","264162","26.4","138097","22.5","117696","0.6","3139","22.5","117696","70.4","368258","7.1","37140","73.1","382382","42","31.9","10.1","114","148807","129111","4","3586","3366","1104","787","67.5","353088","32.1","167913","0.4","2092","263.2","263200","253.6","253600","9.6","9600","89.7","89700","74.6","3.6","8584","11015","5877","0.383","1.7","84","284","39","45","176","108","38","3","42","1","134","15","125","10","42","3","3","35","1","151","6","13","114","0","0","3","61","20","0","6","208","70"
"Selangor","2.8038","101.4951","Kuala Langat","582","247093","425","237796","9297","128315","118778","67.3","166294","19.9","49172","12.4","30640","0.4","988","20.7","51148","72.2","178401","7.1","17544","74.6","184331","38.5","28.6","9.9","108","78393","65910","3.7","1730","1530","533","357","76.6","189273","21.7","53619","1.8","4448","130.3","130300","125.9","125900","4.4","4400","40.6","40600","76.3","3.4","7096","8717","4967","0.339","2.6","149","447","82","67","283","164","90","3","54","2","277","23","137","10","94","3","3","48","1","289","9","23","123","3","0","2","91","56","0","10","339","98"
"Selangor","2.6914","101.7505","Sepang","841","384244","457","346112","38132","206317","177927","71.3","273966","18.4","70701","9.4","36119","0.9","3458","19","73006","74.6","286646","6.4","24592","76.9","295484","34","25.4","8.6","116","144963","113686","3.2","2566","2336","790","547","70.6","271276","27.6","106051","1.8","6916","194.4","194400","187.4","187400","7","7000","65.9","65900","74.7","3.6","8398","11724","5617","0.4","0.7","84","359","48","36","221","138","67","4","12","1","264","15","73","7","68","0","4","12","0","279","1","15","64","0","0","0","56","28","0","7","257","95"
"Perak","5.4168","101.1164","Gerik","4521","56810","13","55409","1401","29767","27043","86.8","49311","8.2","4658","2.4","1363","2.6","1477","30.1","17100","63.8","36245","6.1","3465","63.8","36245","56.8","47.2","9.6","110","18089","14490","3.8","372","362","228","187","78.3","44507","15.9","9048","5.7","3255","24.9","24900","23.9","23900","1.1","1100","15","15000","62.5","4.2","4110","5138","3072","0.349","8.9","33","294","22","11","210","84","29","0","0","4","278","4","3","9","30","0","3","0","0","278","1","11","3","1","0","0","24","9","0","5","221","68"
"Perak","5.1084","100.968","Lenggong","1793","37428","21","36209","1219","19206","18222","91.9","34396","6.7","2508","1.1","412","0.3","112","25.1","9394","64.9","24291","10.1","3780","67.6","25301","54.2","38.7","15.5","105","11976","9974","3.7","251","232","155","119","92","34423","5.8","2185","2.2","819","15.9","15900","15.3","15300","0.6","600","9.8","9800","61.8","3.8","3004","3885","2177","0.34","17.5","27","256","20","7","188","68","27","0","0","0","245","9","1","1","27","0","0","0","0","249","0","7","0","0","0","0","20","7","0","5","181","70"
"Perak","4.8623","100.793","Larut","1129","66020","58","64190","1830","33677","32343","92.8","61267","2.5","1651","4.5","2971","0.2","132","24.3","16043","65.8","43441","9.9","6536","69.9","46148","51.9","36.9","15.1","104","22324","17806","3.7","458","414","283","212","82","54139","16.3","10750","1.7","1131","31.2","31200","29.4","29400","1.8","1800","15.6","15600","66.7","5.8","4115","5173","3605","0.33","7.4","47","270","37","10","201","69","47","0","0","0","258","3","8","1","47","0","0","0","0","259","0","3","8","0","0","0","35","12","0","7","186","77"
"Perak","5.1296","100.4907","Parit Buntar","145","73366","506","70378","2988","37803","35563","72","52824","22.4","16434","4.9","3595","0.7","514","21.9","16067","68.4","50182","9.7","7117","72.3","53044","46.3","32.1","14.2","106","20480","17655","4.1","498","458","308","235","83.5","61261","15.9","11665","0.6","440","31.7","31700","29.9","29900","1.8","1800","20.9","20900","60.3","5.6","4501","5610","3923","0.308","8","17","123","5","12","88","35","15","1","0","1","113","3","7","0","16","0","1","0","0","114","0","3","6","0","0","0","7","10","0","0","86","37"
"Perak","5.0081","100.5394","Bagan Serai","770","92986","121","90335","2651","47877","45109","81.7","75970","10.6","9857","7.5","6974","0.2","186","23.6","21945","68","63230","8.4","7811","69.9","64997","47.1","34.7","12.4","106","29419","22596","4.1","641","588","396","303","84","78145","14.7","13699","1.2","1142","40.7","40700","38.9","38900","1.8","1800","25.8","25800","61.2","4.5","4543","5507","3561","0.305","4.3","16","96","6","10","71","25","16","0","0","0","86","3","7","0","16","0","0","0","0","86","0","3","7","0","0","0","7","9","0","0","65","31"
"Perak","4.7817","100.7615","Bukit Gantang","833","107813","129","102363","5450","56244","51569","76.1","82046","15.3","16495","8.4","9056","0.2","216","24.2","26091","67.3","72558","8.5","9164","70.6","76116","48.5","35.9","12.6","109","33062","27989","3.7","731","702","452","361","83.1","89564","14.7","15821","2.3","2428","51.6","51600","48.5","48500","3.1","3100","24.6","24600","67.7","6","3798","4607","3363","0.31","12.9","27","196","15","12","141","55","20","1","6","0","174","9","12","1","21","0","0","6","0","176","1","9","10","0","0","1","16","10","0","2","135","59"
"Perak","4.8519","100.7416","Taiping","118","130712","1108","125815","4897","67547","63165","50.4","65879","36.7","47971","12.4","16208","0.5","654","25","32678","64.3","84048","10.7","13986","70.1","91629","55.5","38.9","16.7","107","42279","34818","3.6","901","815","558","420","81.7","106802","15","19659","3.3","4251","57.5","57500","54.8","54800","2.7","2700","28.9","28900","66.5","4.7","4751","5916","3914","0.32","4.9","36","182","19","17","109","73","26","2","7","1","123","15","44","0","27","0","2","7","0","128","0","15","39","0","0","0","20","16","0","3","128","51"
"Perak","4.7754","100.8403","Padang Rengas","395","38294","97","37426","868","19242","19052","82.6","31631","11.9","4557","5.2","1991","0.2","77","27.1","10378","63.3","24240","9.6","3676","67.4","25810","58","42.9","15.1","101","13661","10328","3.7","271","239","168","122","85.4","32713","9.4","3599","5.2","1982","15.6","15600","14.8","14800","0.8","800","10.2","10200","60.4","5.1","4314","6975","4223","0.46","5.9","4","50","2","2","34","16","4","0","0","0","42","3","5","0","4","0","0","0","0","43","0","2","5","0","0","0","1","3","0","0","32","18"
"Perak","4.819","101.0737","Sungai Siput","1850","86815","47","83900","2915","44691","42124","50.2","43581","27.2","23614","22.5","19533","0.2","174","24.7","21443","66.2","57472","9.1","7900","68.8","59729","51.1","37.4","13.7","106","25049","24682","3.5","498","455","307","234","73.6","63856","22.6","19624","3.8","3335","33.2","33200","31.4","31400","1.8","1800","21.5","21500","60.7","5.5","3376","4399","2650","0.337","16.7","10","66","7","3","38","28","3","0","7","0","31","6","29","0","4","0","0","6","0","32","1","6","27","0","0","0","9","1","0","2","49","15"
"Perak","4.6136","101.1447","Tambun","535","259166","484","245870","13296","133989","125177","71.2","184526","18.1","46909","10.3","26694","0.4","1037","25","64792","68.6","177788","6.5","16846","69","178825","45.9","36.5","9.4","107","81823","70138","3.6","1638","1447","1012","744","79.3","205411","19.4","50402","1.3","3349","108.9","108900","104.7","104700","4.2","4200","59.4","59400","64.7","3.8","4964","6170","3878","0.345","5.6","39","176","14","25","96","80","33","2","4","0","144","6","25","1","36","0","0","3","0","147","2","6","21","0","0","0","25","14","0","4","116","56"
"Perak","4.6179","101.1232","Ipoh Timor","43","134700","3133","126126","8574","69880","64820","37.4","50378","54.2","73007","7.9","10641","0.5","674","22.8","30712","64","86208","13.3","17915","72.7","97927","56.3","35.6","20.7","108","46436","39263","3.3","883","782","546","402","81.8","110185","16.9","22764","1.3","1751","54.4","54400","51.8","51800","2.6","2600","28","28000","66.1","4.8","4418","6177","3993","0.415","1.9","12","76","5","7","50","26","8","2","2","0","51","13","11","1","8","0","2","2","0","54","3","11","8","0","0","1","4","7","0","0","52","24"
"Perak","4.637018","101.12901","Ipoh Barat","37","134978","3648","127100","7878","69809","65169","25.8","34824","47.8","64519","26","35094","0.5","675","20.2","27266","68.7","92730","11.1","14983","74.7","100829","45.5","29.4","16.2","107","43354","37192","3.5","899","786","556","405","81.4","109849","17.9","24124","0.7","1005","58.4","58400","55.9","55900","2.5","2500","32.1","32100","64.5","4.3","4597","7860","5013","0.539","5.6","22","100","9","13","49","51","11","1","10","0","36","12","52","0","14","1","1","6","0","40","6","11","40","3","0","1","11","10","0","0","62","38"
"Perak","4.4721","101.0412","Batu Gajah","216","137227","635","128911","8316","72757","64470","25.2","34581","54.7","75063","19.6","26896","0.5","686","21.6","29641","67.5","92628","10.8","14821","72.9","100038","48","32","16","113","44930","38222","3.5","876","804","541","414","83.3","114352","14.9","20432","1.8","2443","57.7","57700","54.6","54600","3.1","3100","31.3","31300","64.9","5.4","3870","4671","2941","0.318","7.3","20","94","11","9","61","33","11","2","7","0","53","8","33","0","13","0","2","4","1","54","5","8","26","1","0","1","7","12","0","2","62","30"
"Perak","4.7736","100.942","Kuala Kangsar","576","51789","90","50680","1109","25838","25951","82.2","42571","13.2","6836","4.3","2227","0.4","207","24","12429","67.7","35061","8.2","4247","70.9","36718","47.6","35.5","12.1","100","16749","14391","3.6","375","321","232","165","69.1","35791","28.6","14814","2.3","1181","22.2","22200","21.1","21100","1.1","1100","14.9","14900","59.9","4.9","3901","4819","3282","0.342","7.3","9","81","4","5","54","27","8","0","1","0","76","2","3","0","8","0","0","1","0","76","0","2","3","0","0","0","6","3","0","1","59","21"
"Perak","4.5008","100.7815","Beruas","754","119756","159","111194","8562","63776","55980","33.1","39639","49","58680","17.4","20838","0.5","599","22.4","26825","68.1","81554","9.5","11377","72.4","86703","46.8","32.9","13.9","114","42750","31515","3.7","791","752","489","387","87.2","104437","12.3","14688","0.5","631","53.7","53700","50.9","50900","2.7","2700","29.2","29200","64.8","5.1","3973","5592","3486","0.411","8.9","24","168","15","9","104","64","17","2","4","1","92","12","64","0","19","0","1","4","0","94","4","10","60","0","0","0","19","5","0","3","116","49"
"Perak","4.4767","100.9097","Parit","560","60988","109","58692","2296","31418","29570","95.9","58487","1.5","915","2.4","1464","0.2","122","20.9","12746","72.6","44277","6.4","3903","74.7","45558","37.7","28.8","8.8","106","22714","19961","3.4","426","431","263","222","83.6","50978","11.1","6739","5.4","3268","30.9","30900","28.9","28900","2","2000","20.1","20100","60.6","6.3","4629","6129","3972","0.364","6.2","38","244","20","18","171","73","38","0","0","0","240","0","4","0","38","0","0","0","0","241","0","0","3","0","0","0","19","19","0","0","158","86"
"Perak","4.3085","101.1537","Kampar","547","104552","191","100333","4219","53736","50816","44.6","46630","45.4","47467","9.6","10037","0.3","314","20.5","21433","69.1","72245","10.4","10873","74.7","78100","44.8","29.7","15.1","106","41050","30015","3.4","726","665","449","342","84.1","87913","9.3","9766","6.6","6868","50.5","50500","48.3","48300","2.2","2200","26.3","26300","65.8","4.4","3653","4777","2612","0.362","7.6","1","105","0","1","64","41","1","0","0","0","84","14","6","1","1","0","0","0","0","85","0","13","6","1","0","0","1","0","0","1","52","52"
"Perak","4.4717","101.1654","Gopeng","577","216236","375","204396","11840","110855","105381","52.7","113956","38.6","83467","8.3","17948","0.4","865","23.9","51680","67.4","145743","8.6","18596","70.5","152446","48.3","35.5","12.8","105","68221","58466","3.6","1409","1226","871","631","83.2","179878","15","32446","1.8","3912","83.8","83800","80.5","80500","3.3","3300","52.8","52800","61.3","3.9","4542","5851","3529","0.363","4.4","17","118","8","9","57","61","11","0","5","1","89","11","14","4","12","0","0","5","0","91","1","12","11","3","0","0","11","6","0","0","81","37"
"Perak","4.1977","101.2615","Tapah","893","79093","89","75953","3140","42588","36505","71.6","56631","15.1","11943","12.5","9887","0.8","633","24.4","19299","67.9","53704","7.7","6090","71.1","56235","47.2","35.9","11.3","117","24943","21375","3.6","508","505","314","260","82","64823","15.6","12352","2.4","1918","40","40000","38.2","38200","1.8","1800","18.7","18700","68.1","4.4","3885","5468","2983","0.389","9","2","195","1","1","119","76","2","0","0","0","136","9","47","3","2","0","0","0","0","142","3","9","40","1","0","0","2","0","0","2","130","63"
"Perak","4.1369","100.9129","Pasir Salak","1064","80485","76","75174","5311","42807","37678","86.8","69861","10.1","8129","2.8","2254","0.3","241","23","18512","67.8","54569","9.2","7405","71","57144","47.5","34","13.5","114","30024","19956","3.8","533","510","329","263","84.6","68051","12.7","10236","2.7","2198","36.8","36800","34.7","34700","2","2000","19.3","19300","65.6","5.6","3186","3780","2606","0.307","18.9","55","437","30","25","294","143","55","0","0","0","419","2","14","2","55","0","0","0","0","422","1","2","12","0","0","1","30","24","0","7","277","153"
"Perak","4.2363","100.6322","Lumut","343","124320","362","115623","8697","67751","56569","81.6","101445","9.4","11686","8.7","10816","0.3","373","26.7","33193","68.6","85284","4.7","5843","68.7","85408","45.8","38.9","6.9","120","42300","30546","3.8","807","825","500","426","75.7","94103","17.6","21920","6.7","8304","57.9","57900","54.7","54700","3.2","3200","31.3","31300","64.9","5.6","5643","6728","4019","0.343","4.7","11","99","6","5","79","20","8","0","2","1","81","5","13","0","9","0","0","2","0","81","0","5","13","0","0","0","9","2","0","3","72","24"
"Perak","3.9919","100.7861","Bagan Datuk","635","76495","120","69276","7219","41384","35111","55.1","42149","20.7","15834","23.9","18282","0.3","229","18","13769","74.3","56836","7.6","5814","69.6","53241","34.6","24.3","10.3","118","18505","21465","3.5","379","377","234","194","86.6","66233","11.8","9048","1.6","1214","28.3","28300","26.8","26800","1.5","1500","16","16000","63.8","5.3","4448","5660","3341","0.371","6.3","58","416","34","24","280","136","38","3","17","0","327","14","74","1","39","0","3","16","0","332","2","15","67","0","0","0","32","26","0","7","233","176"
"Perak","4.0224","101.0206","Teluk Intan","774","103065","133","91779","11286","55868","47197","49.9","51429","32.6","33599","16.9","17418","0.6","618","19.5","20098","70.2","72352","10.3","10616","74.6","76886","42.5","27.7","14.7","118","32150","26135","3.7","657","616","406","317","78","80439","14.9","15351","7.1","7275","43.7","43700","41.4","41400","2.4","2400","25.3","25300","63.4","5.4","3641","5059","3312","0.378","10.3","40","259","22","18","171","88","25","3","12","0","196","15","47","1","26","0","3","11","0","198","0","14","47","0","0","0","21","19","0","3","169","87"
"Perak","3.6795","101.5203","Tanjong Malim","1882","122947","65","117705","5242","61728","61219","74.1","91104","13.4","16475","11.9","14631","0.6","738","20.4","25081","71.2","87538","8.5","10450","75.1","92333","40.5","28.6","11.9","101","36035","33877","3.5","915","778","566","400","80","98346","16.6","20404","3.4","4198","66.3","66300","63.4","63400","2.9","2900","30.5","30500","68.5","4.4","4056","5686","3191","0.399","8.3","4","161","2","2","102","59","2","0","2","0","125","9","25","2","2","0","0","2","0","128","1","9","22","1","0","0","4","0","0","5","90","66"
"Pulau Pinang","5.5172","100.4315","Kepala Batas","138","117043","848","112491","4552","60357","56686","87.2","102061","9","10534","3.6","4214","0.2","234","25.8","30197","69.5","81345","4.7","5501","69.3","81111","44","37.2","6.8","106","33443","29430","3.9","690","642","408","319","84.6","99018","15.4","18025","0","0","52","52000","50","50000","2","2000","30.4","30400","63.1","3.8","5644","6739","3769","0.34","5","225","1127","145","80","805","322","203","8","13","1","1055","15","51","6","207","1","7","10","0","1071","2","16","38","0","0","2","137","86","0","6","718","403"
"Pulau Pinang","5.4821","100.4945","Tasik Gelugor","109","106899","981","103644","3255","54531","52368","78.2","83595","16.6","17745","4.9","5238","0.3","321","24.4","26083","69.1","73867","6.5","6948","70.6","75471","44.7","35.4","9.4","104","30365","26757","3.8","645","589","382","290","86.7","92681","12.4","13255","0.9","962","48","48000","46.2","46200","1.8","1800","28","28000","63.2","3.7","5566","6429","3557","0.34","4.1","212","945","142","70","642","303","195","1","15","1","889","13","37","5","197","1","1","12","1","903","0","9","33","0","0","2","111","99","0","9","572","364"
"Pulau Pinang","5.370449","100.237582","Bagan","20","112712","5636","104157","8555","56393","56319","21.6","24346","65.5","73826","12.4","13976","0.5","564","19.5","21979","72.7","81942","7.8","8792","76.1","85774","37.5","26.8","10.7","100","36266","30175","3.6","658","602","390","297","81.9","92311","18.1","20401","0","0","50.5","50500","48.6","48600","1.8","1800","29.8","29800","62.9","3.6","5647","7579","4119","0.38","3.4","114","374","62","52","232","142","71","11","30","2","230","46","96","2","78","3","11","22","0","251","1","45","76","1","0","0","66","48","1","2","225","146"
"Pulau Pinang","5.4111","100.4133","Permatang Pauh","98","159989","1633","150266","9723","82787","77202","78.4","125431","15.6","24958","5.6","8959","0.4","640","21.1","33758","73.6","117752","5.3","8479","73.6","117752","35.9","28.7","7.2","107","46040","41201","3.9","922","876","546","433","67.8","108473","30.4","48637","1.8","2880","73.6","73600","70.2","70200","3.4","3400","43.3","43300","63","4.7","5183","6435","3615","0.37","6.1","210","657","118","92","425","232","189","4","17","0","575","24","55","3","192","1","4","13","0","590","4","24","38","1","0","2","123","85","0","7","416","234"
"Pulau Pinang","5.3655","100.459","Bukit Mertajam","78","162947","2089","154454","8493","85769","77178","27.9","45462","61.3","99887","10.4","16946","0.4","652","18.9","30797","74","120581","7.1","11569","75.8","123514","35.1","25.5","9.5","111","53775","41853","3.8","953","893","565","441","81.1","132150","18.7","30471","0.2","326","80.9","80900","78.9","78900","2","2000","36.2","36200","69.1","2.4","6171","7901","4522","0.37","1.3","131","392","70","61","232","160","100","14","17","0","282","55","53","2","103","1","13","14","0","285","6","53","47","1","0","1","73","57","0","7","240","145"
"Pulau Pinang","5.2704","100.4197","Batu Kawan","129","164468","1275","127545","36923","86222","78246","34.2","56248","45.7","75162","19.2","31578","0.9","1480","17.2","28288","78.8","129601","4","6579","78.8","129601","26.9","21.8","5.1","110","47725","40326","3.8","841","915","499","453","82.3","135357","17.7","29111","0","0","92.4","92400","89","89000","3.4","3400","29.8","29800","75.6","3.7","6069","7644","4680","0.35","0.6","86","218","48","38","120","98","52","10","23","1","133","20","65","0","53","1","11","21","0","138","5","19","56","0","0","2","40","44","0","4","132","82"
"Pulau Pinang","5.1701","100.4792","Nibong Tebal","178","122034","686","120291","1743","63860","58174","50.4","61505","33","40271","16.3","19892","0.2","244","21.2","25871","74.1","90427","4.7","5736","73.9","90183","35","28.6","6.4","110","44019","38207","3.2","710","693","421","341","81","98848","18.6","22698","0.4","488","71.2","71200","68.9","68900","2.3","2300","21.8","21800","76.6","3.3","5526","6591","3808","0.32","2.5","151","592","69","82","400","192","109","7","35","0","446","53","93","0","113","2","7","29","0","452","12","52","76","0","0","2","65","84","0","7","333","252"
"Pulau Pinang","5.4085","100.2773","Bukit Bendera","65","123827","1905","109799","14028","61703","62124","17.9","22165","70","86679","10.5","13002","1.6","1981","17.8","22041","71.5","88536","10.7","13249","79","97823","39.9","24.9","15","99","56322","43650","2.8","734","657","435","324","78","96585","20.5","25385","1.5","1857","57.6","57600","55.5","55500","2.1","2100","29.7","29700","66","3.7","7322","9862","6129","0.41","0","61","187","25","36","86","101","21","28","12","0","71","82","34","0","26","2","25","6","2","78","10","75","24","0","0","0","25","36","0","1","50","136"
"Pulau Pinang","5.4651","100.2822","Tanjong","6","34809","5802","25427","9382","20663","14146","16.9","5883","71","24714","11.4","3968","0.7","244","11.5","4003","78.4","27290","10.1","3516","86.2","30005","27.6","14.7","12.9","146","14679","10360","2.8","163","152","96","75","65","22626","34.3","11939","0.7","244","13.5","13500","12.9","12900","0.5","500","6.8","6800","66.6","4","6135","7807","4648","0.35","1.5","34","87","16","18","44","43","14","8","11","1","29","33","24","1","21","0","8","4","1","48","2","32","5","0","0","0","11","23","0","0","45","42"
"Pulau Pinang","5.395","100.3105","Jelutong","10","113725","11373","109271","4454","56549","57176","26.7","30365","62.4","70964","10.1","11486","0.7","796","21.1","23996","69.5","79039","9.5","10804","75.2","85521","44","30.3","13.6","99","39632","34531","3.3","703","620","417","306","73.7","83815","22.8","25929","3.5","3980","56.3","56300","53.8","53800","2.5","2500","27","27000","67.6","4.5","7174","7555","4753","0.28","1.3","84","234","40","44","143","91","50","15","19","0","104","58","71","1","61","3","11","9","0","158","6","51","17","2","0","1","31","52","0","1","111","122"
"Pulau Pinang","5.3764","100.3024","Bukit Gelugor","32","201005","6281","181015","19990","102178","98827","22.5","45226","66.8","134271","9.9","19899","0.8","1608","18.8","37789","74.1","148945","7.2","14472","78.3","157387","35","25.3","9.7","103","66466","60025","3.2","1192","1032","705","510","82.7","166231","16","32161","1.3","2613","96.4","96400","92.8","92800","3.7","3700","48.9","48900","66.4","3.8","6220","8013","4707","0.35","0.2","78","224","41","37","122","102","30","22","25","1","70","102","52","0","39","4","19","16","0","88","8","98","30","0","0","0","19","59","0","2","75","147"
"Pulau Pinang","5.3289","100.2958","Bayan Baru","41","188603","4600","172414","16189","93984","94619","42.4","79968","47.5","89586","9.2","17351","0.9","1697","18.2","34326","75.3","142018","6.6","12448","78.5","148053","32.9","24.1","8.7","99","65086","59285","3.2","1153","1013","683","501","75.3","142018","21.3","40172","3.4","6413","101.9","101900","98.9","98900","3","3000","44.6","44600","69.6","2.9","6981","9040","5562","0.36","0.8","38","182","15","23","118","64","20","11","6","1","111","39","28","4","23","3","8","3","1","123","1","38","19","1","0","0","11","27","0","2","100","80"
"Pulau Pinang","5.3503","100.235","Balik Pulau","147","132344","900","129100","3244","67558","64786","63.7","84303","31.6","41821","4.3","5691","0.4","529","23.3","30836","71.4","94494","5.3","7014","72.6","96082","40.1","32.7","7.5","104","53190","39547","3.3","809","753","480","372","80.8","106934","16.3","21572","3","3970","69","69000","67.1","67100","2","2000","30.7","30700","69.2","2.8","6485","7975","5166","0.33","0.7","123","501","69","54","330","171","115","6","3","1","455","22","21","3","118","1","3","1","0","467","3","18","13","0","0","4","52","67","0","10","307","184"
"Pahang","4.4721","101.3801","Cameron Highlands","3114","68001","22","62072","5929","37108","30893","72.2","49097","18.8","12784","8.4","5712","0.6","408","27.2","18496","67.2","45697","5.6","3808","66.3","45085","48.7","40.4","8.3","120","22093","15612","4.3","532","535","211","151","72.9","49573","17.7","12036","9.4","6392","35.6","35600","35.1","35100","0.5","500","13","13000","73.3","1.5","5280","6329","4016","0.276","1.7","23","86","19","4","56","30","20","1","0","2","64","4","14","4","21","0","1","0","1","67","0","4","13","2","0","0","16","7","0","2","74","10"
"Pahang","4.1843","102.0542","Lipis","3004","67853","23","64190","3663","36408","31445","84.3","57200","11.4","7735","4","2714","0.4","271","25.5","17303","68.2","46276","6.3","4275","68.6","46547","46.7","37.4","9.3","116","17206","15256","4.4","552","534","219","152","73.7","50008","13.6","9228","12.8","8685","28.5","28500","27.5","27500","1","1000","20.3","20300","58.5","3.6","3628","4467","3291","0.296","5.6","124","343","68","56","231","112","117","3","4","0","322","5","13","3","118","0","3","3","0","327","0","5","11","0","0","0","71","53","0","6","219","118"
"Pahang","3.7935","101.8575","Raub","2296","95909","42","90608","5301","50797","45112","61","58504","32.5","31170","6","5755","0.4","384","26.1","25032","66.3","63588","7.5","7193","67.6","64834","50.7","39.4","11.3","113","25230","22861","4.1","795","742","316","212","84.9","81427","11.5","11030","3.5","3357","43.9","43900","42.2","42200","1.7","1700","24.2","24200","64.5","3.8","3811","4992","4102","0.307","4.4","127","296","70","57","199","97","99","5","22","1","231","20","43","2","101","0","5","21","0","237","3","19","35","2","1","1","83","42","0","3","216","77"
"Pahang","3.9338","102.3602","Jerantut","7273","104771","14","99779","4992","55612","49159","85.6","89684","11.1","11630","2.7","2829","0.6","629","27.2","28498","64.4","67473","8.4","8801","66.1","69254","55.2","42.2","13","113","28779","24165","4.3","866","813","345","232","76.4","80045","9.1","9534","14.5","15192","46.4","46400","44.9","44900","1.5","1500","25.1","25100","64.9","3.2","3708","4436","2783","0.293","9.6","174","329","117","57","221","108","164","5","3","2","311","5","12","1","166","0","5","3","0","312","1","4","12","0","0","2","110","62","0","0","238","91"
"Pahang","3.8208","103.297","Indera Mahkota","392","248946","635","239291","9655","130048","118898","75.8","188701","19.5","48544","4.2","10456","0.4","996","27.3","67962","69","171773","3.7","9211","64.9","161566","44.9","39.6","5.3","109","66984","64018","3.8","1984","1831","790","523","74.4","185216","22.8","56760","2.8","6970","118.6","118600","115.5","115500","3.1","3100","52.5","52500","69.3","2.6","6051","7693","4603","0.339","2","101","284","61","40","161","123","87","7","7","0","239","13","31","1","87","2","6","6","0","240","2","12","30","0","0","1","61","39","0","3","192","89"
